hours_studied,attendance_pct,previous_score,sleep_hours,sample_papers_solved,extracurricular,parental_support,performance_index
4.3,89.0,52.0,7.6,4,0,1,50.4
8.0,59.8,40.7,6.1,3,1,2,49.2
0.2,68.8,74.2,7.5,8,0,3,49.6
3.8,98.2,74.5,5.5,3,1,3,57.5
1.8,76.9,72.2,6.7,1,0,3,53.1
3.7,90.1,71.1,6.9,6,1,2,67.7
6.0,82.8,60.2,6.3,1,1,3,68.8
5.1,78.7,76.8,7.0,5,0,1,70.1
4.9,96.4,64.3,6.2,0,0,3,74.5
5.1,,57.7,5.7,1,0,2,51.4
5.9,58.6,60.3,8.4,4,0,2,55.3
3.3,70.4,95.3,7.8,4,1,1,56.7
7.1,86.6,39.0,5.6,4,0,2,61.2
7.0,,72.5,7.2,8,0,1,74.0
6.3,61.2,39.8,5.6,6,0,3,57.0
6.7,71.3,63.4,5.1,5,1,1,54.2
6.2,73.0,58.5,7.7,3,0,2,60.7
10.0,75.6,35.0,4.5,7,0,1,62.3
5.3,63.5,70.8,7.6,4,1,2,62.0
4.8,72.5,59.3,6.2,6,0,2,53.7
3.8,71.3,35.0,6.2,4,0,1,48.8
3.2,89.3,77.6,7.0,2,1,3,76.1
2.8,89.7,86.5,7.2,3,0,3,59.0
3.5,78.3,87.4,5.5,4,1,2,68.5
5.3,75.3,70.4,7.4,2,1,1,42.0
6.2,81.7,65.7,6.6,7,1,3,76.0
5.6,70.2,84.9,5.0,1,0,3,50.6
3.8,66.2,90.2,6.3,8,0,2,64.0
7.5,68.7,82.0,8.2,3,0,2,61.7
7.1,72.4,50.9,8.5,4,0,1,57.3
5.1,66.0,68.0,7.4,3,0,2,62.0
4.1,81.9,71.6,5.1,3,1,1,46.0
6.7,88.8,37.9,7.1,4,1,2,57.6
5.9,61.0,72.0,7.5,6,0,3,62.2
2.3,80.3,99.1,7.4,1,1,2,73.0
5.4,77.4,74.6,7.4,3,1,2,67.5
6.1,84.1,87.1,6.9,7,1,3,73.0
3.5,79.8,67.7,6.4,3,1,3,56.4
5.9,62.6,63.9,5.8,2,1,1,62.6
2.3,64.9,70.7,4.2,1,0,1,46.2
8.4,80.4,52.8,6.9,6,0,1,60.4
8.2,92.3,50.5,6.7,10,1,3,77.6
4.9,53.4,84.0,7.2,6,1,2,62.9
6.3,84.1,85.6,4.9,2,1,3,67.7
0.2,94.3,50.1,7.3,7,1,2,42.8
3.0,78.2,79.5,9.0,4,0,3,59.8
4.9,86.6,63.7,6.6,7,0,3,75.6
3.1,71.6,70.1,6.4,7,1,1,56.1
7.1,78.6,71.9,6.9,5,0,3,70.5
9.9,60.5,79.9,8.9,3,1,3,78.3
2.9,51.9,66.2,5.3,5,1,1,60.2
3.7,91.3,86.2,6.7,3,1,2,67.7
6.0,68.2,69.6,5.5,7,0,3,72.6
9.0,74.5,74.4,5.8,3,1,3,70.3
2.8,63.4,52.5,6.4,0,0,2,38.0
6.0,63.1,97.4,8.1,1,1,2,68.7
9.5,77.9,72.0,8.7,8,0,1,74.8
1.9,71.2,75.7,7.0,7,1,2,58.4
2.7,84.5,40.9,6.0,0,0,2,45.9
4.6,85.4,52.7,9.0,3,0,2,52.5
4.4,83.9,83.6,6.0,4,0,1,63.2
7.3,82.9,69.3,5.8,1,0,3,69.5
6.0,98.9,36.3,4.4,4,0,2,50.5
1.6,67.2,80.6,8.2,5,1,1,62.5
6.6,79.3,56.8,7.7,2,1,2,61.8
4.2,93.6,86.2,9.0,2,0,2,68.1
8.3,95.2,63.7,4.8,5,1,1,59.6
4.1,62.9,68.1,8.2,5,1,2,56.8
4.1,76.3,82.7,6.6,4,1,3,68.8
6.7,96.3,51.5,7.5,3,0,3,76.3
7.2,86.1,50.1,4.5,3,0,1,59.9
6.5,82.3,62.1,8.3,1,1,2,69.7
1.8,77.4,77.4,7.4,7,0,2,53.2
6.7,75.4,45.0,6.5,4,0,3,57.2
3.2,83.5,40.0,7.3,6,1,3,62.3
6.0,77.0,77.4,5.6,4,0,2,59.7
2.4,79.5,56.0,5.8,6,1,1,57.4
6.5,80.9,59.1,5.9,3,0,2,64.3
3.7,71.9,37.1,4.3,3,1,1,42.2
2.7,86.4,54.8,7.5,1,1,3,50.9
7.1,100.0,64.9,7.9,3,1,3,68.9
6.0,58.7,79.0,5.7,8,1,3,80.6
4.1,83.9,53.4,6.9,2,1,2,58.0
8.7,70.9,89.9,6.2,7,0,3,83.5
4.5,86.9,54.7,6.9,3,1,2,55.4
5.6,80.6,54.8,5.7,3,1,2,57.8
6.1,89.1,88.1,5.4,5,0,3,76.6
4.1,94.1,68.2,7.8,9,0,1,71.5
6.5,82.3,56.7,6.4,5,0,3,69.4
4.3,93.6,62.7,8.9,7,1,3,67.1
4.6,51.9,85.3,6.6,1,1,2,46.9
8.5,99.1,87.0,5.4,5,0,1,80.7
3.2,84.5,52.7,8.0,4,0,3,45.4
0.2,92.9,64.4,7.3,3,1,1,48.1
9.0,65.4,66.4,7.4,3,0,3,65.3
11.1,70.0,50.2,7.9,7,1,3,80.3
4.6,81.8,64.2,5.7,5,0,2,71.5
1.2,79.8,65.1,6.3,4,0,2,38.3
4.8,83.4,82.1,6.3,5,0,1,79.2
4.9,93.0,83.1,5.0,4,1,2,68.2
5.1,58.8,60.1,,2,1,1,51.2
3.1,91.7,61.8,8.1,3,0,3,50.9
6.8,80.1,75.0,6.8,1,0,2,70.1
6.7,77.6,56.2,4.9,3,0,1,55.5
2.2,62.3,73.8,4.6,4,0,3,50.4
7.0,86.0,63.7,8.5,7,1,1,61.0
10.0,51.0,50.5,6.4,8,0,2,65.7
5.9,87.8,50.6,5.7,2,0,1,58.8
4.8,62.1,86.7,6.2,5,0,1,59.5
5.2,80.6,62.7,4.7,1,0,1,58.6
6.9,78.6,89.6,8.2,1,0,1,75.4
1.7,94.0,57.3,6.0,5,0,3,51.6
5.9,77.9,69.4,8.1,6,0,3,79.2
4.6,71.7,100.0,6.6,2,0,3,68.4
9.6,73.9,49.1,8.2,4,0,3,68.7
5.1,95.3,36.5,6.8,3,1,2,55.8
9.2,86.4,84.3,7.5,5,0,2,82.2
3.1,75.4,52.6,7.4,7,0,1,36.6
6.8,77.2,64.7,7.2,2,0,3,62.6
6.2,61.2,56.2,6.9,3,1,2,47.4
3.6,,69.0,6.2,5,1,2,71.6
5.9,58.9,50.7,8.8,1,1,1,59.0
8.2,89.0,62.3,5.4,1,1,2,71.2
4.8,81.5,71.7,6.5,6,1,3,67.3
1.8,100.0,49.9,6.5,4,0,2,45.8
5.5,66.8,54.5,7.0,6,1,2,54.9
3.5,78.8,59.8,6.0,2,1,3,66.0
4.7,100.0,43.6,6.9,4,0,1,51.6
5.3,94.3,58.7,6.3,1,0,3,46.0
1.7,71.6,66.8,4.6,5,0,3,57.2
1.9,82.7,59.0,6.5,6,0,2,62.4
6.6,80.0,60.9,5.2,1,1,3,70.6
4.4,83.4,64.7,4.4,8,0,1,66.6
0.0,71.6,55.2,6.7,3,1,1,46.9
7.2,78.9,75.4,7.1,3,1,1,68.4
6.1,60.8,86.5,7.1,3,0,2,51.8
3.9,,58.0,7.2,1,0,3,53.8
2.6,85.4,72.3,4.2,1,1,2,56.5
7.3,77.3,61.4,4.9,5,1,3,66.6
6.3,60.6,70.5,8.9,5,0,1,60.6
10.7,91.9,88.5,5.2,1,0,3,77.0
6.4,84.4,72.6,7.2,6,1,1,64.9
6.4,71.3,38.4,5.7,6,1,2,66.4
5.1,76.6,71.8,6.6,2,0,3,72.2
7.3,62.0,83.5,5.7,4,0,3,68.5
6.9,67.7,61.7,7.2,6,1,3,69.2
8.3,73.5,79.9,6.7,2,0,2,63.3
4.4,94.7,54.6,6.0,5,0,2,63.4
4.5,72.3,42.7,5.2,3,1,2,58.3
4.4,87.7,67.1,6.8,3,0,2,51.1
7.2,73.5,38.7,5.0,6,0,3,60.7
8.8,83.0,61.4,7.0,3,1,2,73.5
4.5,78.3,84.3,9.0,2,1,2,69.8
4.6,90.5,36.4,8.1,3,0,2,61.9
6.2,73.6,45.8,7.4,4,0,1,65.6
5.0,61.1,49.5,6.4,5,1,1,48.8
7.6,63.4,64.1,4.2,6,1,2,67.7
0.5,73.6,59.5,4.9,1,1,2,41.0
3.7,65.0,86.0,8.0,6,1,2,62.1
3.8,84.9,79.3,5.6,2,1,3,64.7
0.4,74.4,72.4,5.7,4,1,3,55.9
3.4,100.0,67.2,6.3,7,1,3,71.1
3.5,59.1,70.9,5.2,6,0,2,48.3
5.1,82.4,52.1,5.0,2,1,3,52.8
7.9,66.5,77.9,6.4,2,1,3,66.5
5.0,74.1,48.3,5.4,4,0,1,44.1
3.2,81.7,77.5,5.6,2,0,2,58.3
5.4,52.1,82.8,5.6,4,1,2,62.6
7.8,82.8,68.2,7.1,6,0,3,80.5
3.4,100.0,62.4,,2,1,2,53.8
3.5,74.6,71.0,6.3,0,0,1,45.3
6.7,83.1,35.0,7.2,6,0,1,65.7
5.0,92.3,69.5,6.3,5,0,1,63.2
6.9,78.0,63.3,6.2,3,1,1,62.0
5.5,73.0,64.2,7.1,6,0,1,59.3
7.0,52.7,75.6,7.3,0,1,3,67.2
3.2,87.7,63.9,6.3,3,0,2,62.5
5.5,78.6,47.9,6.6,3,0,3,62.2
5.0,67.8,62.9,5.6,5,0,3,58.4
2.8,81.5,66.0,5.5,7,0,2,52.9
2.1,73.0,66.7,7.4,10,1,2,73.7
7.0,73.7,67.4,7.0,7,1,1,73.9
4.7,87.3,80.6,7.0,6,0,3,69.3
3.3,63.9,48.7,6.8,2,0,2,51.3
5.3,92.6,67.6,6.6,4,1,3,65.7
8.0,63.2,84.3,7.3,4,1,1,78.9
0.5,72.0,39.0,7.6,4,0,1,44.9
2.2,100.0,67.7,7.6,5,1,1,56.1
3.5,93.5,56.2,6.4,4,0,3,62.0
8.7,81.2,59.4,8.2,2,0,2,71.7
6.1,68.7,51.4,6.8,5,1,1,72.1
7.2,73.6,62.5,7.3,6,1,1,61.9
3.0,80.9,92.6,6.8,6,1,2,78.2
3.0,80.5,46.0,6.8,9,0,3,57.7
6.5,78.9,47.5,5.6,5,0,3,52.3
5.6,79.6,45.5,7.3,3,1,2,55.2
6.7,77.4,90.9,9.0,3,0,3,76.1
5.1,62.7,58.1,6.1,4,0,1,44.0
6.1,73.8,64.6,6.6,3,1,3,65.3
5.8,91.0,59.0,6.0,5,0,1,67.6
7.2,63.6,50.8,5.9,1,0,2,52.7
7.3,77.7,61.5,8.4,6,0,3,67.5
1.9,70.2,100.0,5.7,3,1,3,62.1
0.6,81.3,85.9,,3,0,1,52.0
7.7,75.3,52.2,4.6,4,0,2,60.4
8.1,97.7,74.7,5.6,3,0,1,78.6
3.3,86.1,52.5,4.4,8,0,1,55.7
1.4,64.3,38.4,7.3,7,0,2,33.4
5.7,88.1,80.3,9.0,1,1,2,66.4
7.5,70.7,82.4,6.1,4,0,1,68.5
9.5,73.1,80.7,4.5,1,0,3,77.4
6.6,83.8,58.0,7.6,4,0,2,71.7
4.7,74.1,62.5,5.6,1,0,2,62.0
3.5,90.7,76.2,8.1,5,0,2,66.9
5.5,70.7,70.9,6.2,4,1,2,66.7
4.8,72.6,59.1,5.7,7,1,1,49.8
3.3,72.1,40.7,6.3,4,1,2,48.8
10.0,73.2,66.7,7.4,3,0,3,66.8
9.4,93.2,81.2,6.2,5,1,2,83.3
8.0,87.5,47.0,5.9,2,1,2,80.0
3.5,100.0,74.6,6.3,3,0,3,67.0
7.4,100.0,70.0,5.0,7,0,2,70.8
6.9,,76.3,7.0,3,1,1,66.7
6.5,80.8,78.1,,3,0,1,59.7
8.2,65.9,54.6,6.0,5,0,3,57.8
6.9,70.7,40.7,7.4,5,1,2,70.6
7.1,72.4,57.0,6.9,2,0,2,64.5
6.9,67.3,78.3,7.2,3,1,1,67.2
6.2,67.4,56.9,6.4,7,0,1,56.5
1.6,78.3,54.6,7.9,4,0,2,46.5
5.7,65.4,37.7,7.6,4,0,3,60.5
4.3,90.1,91.3,7.0,3,0,1,69.1
2.7,69.0,77.4,7.6,1,1,2,35.5
9.2,100.0,76.5,7.4,2,1,3,97.0
9.3,74.6,79.5,6.0,5,1,1,76.4
8.5,80.9,73.7,4.9,2,0,1,67.7
6.1,64.5,61.3,7.0,3,0,1,60.7
8.5,100.0,62.5,7.2,4,0,3,79.2
5.5,93.4,58.6,7.8,3,0,2,67.3
5.9,83.6,100.0,5.4,7,1,3,79.8
3.1,63.8,73.3,5.4,5,0,3,48.2
6.4,82.5,58.0,7.1,5,0,2,65.4
5.6,66.5,72.0,6.4,7,0,1,70.9
2.6,97.5,49.8,4.2,2,1,1,44.0
5.4,89.7,87.6,7.0,3,0,2,66.3
5.3,81.1,55.1,4.3,3,1,2,62.9
9.5,50.8,72.5,5.4,3,1,1,60.3
7.5,68.2,81.0,8.1,5,1,3,73.1
5.5,88.3,70.8,8.7,6,0,1,66.6
6.0,94.6,66.4,5.0,4,0,2,65.2
5.6,93.3,65.2,6.1,4,0,3,57.4
5.1,60.9,64.2,6.6,4,1,2,53.0
3.1,83.6,56.3,8.6,2,1,3,57.7
5.2,92.2,58.3,5.9,1,1,1,57.7
3.9,60.1,87.2,5.9,10,0,3,75.8
2.7,79.9,63.4,8.4,8,0,3,74.1
6.6,83.3,53.2,6.1,3,1,3,71.9
6.4,76.4,57.3,7.4,4,0,1,64.2
1.6,57.8,81.5,4.7,10,1,1,55.9
5.2,76.1,75.1,6.3,5,1,1,60.2
7.7,76.1,73.4,4.5,4,0,3,68.7
7.8,78.2,61.1,5.2,7,0,1,69.7
7.8,73.2,73.6,7.5,0,0,2,68.6
5.6,74.7,55.3,6.4,3,0,2,58.8
3.6,79.5,61.1,6.1,6,1,3,60.3
3.1,85.3,79.5,5.6,10,0,3,75.7
6.3,76.3,78.1,6.2,5,0,1,73.4
6.3,75.1,50.3,6.9,3,0,3,63.1
8.3,81.1,52.2,7.7,4,0,1,63.5
7.9,56.9,66.6,4.0,4,1,1,53.7
5.2,85.7,90.9,5.5,5,1,1,66.1
2.8,80.0,36.3,6.7,4,0,2,40.1
4.8,80.5,69.2,6.4,2,0,2,59.6
6.0,91.5,44.4,7.0,1,0,3,59.9
5.1,56.6,55.5,6.8,3,0,3,42.6
4.2,56.3,59.5,6.1,4,0,2,45.9
6.1,83.3,58.7,5.9,3,1,2,62.5
4.4,79.9,57.0,6.2,5,0,1,49.2
4.1,82.0,65.1,7.9,5,0,3,65.7
6.2,,57.0,5.6,5,0,2,57.2
4.6,88.0,43.1,6.4,6,1,3,55.6
6.0,91.2,76.7,6.7,6,0,2,73.2
6.1,85.8,76.3,8.4,3,1,3,75.2
3.0,76.9,77.6,6.1,4,0,3,54.7
4.4,54.7,41.9,7.7,2,1,3,44.1
8.7,89.2,69.5,8.0,7,1,2,84.0
2.9,94.7,75.1,6.4,3,0,1,54.2
0.8,87.7,49.5,6.2,3,0,1,32.2
1.4,69.4,65.1,6.1,7,0,2,42.2
5.6,88.1,63.3,6.2,4,1,3,64.0
5.6,90.3,92.6,7.5,4,1,3,71.0
5.2,98.7,93.9,6.8,7,0,1,76.3
8.2,69.5,40.0,6.8,5,0,2,68.2
0.0,77.3,100.0,5.1,2,0,3,47.8
6.4,89.0,51.3,5.3,4,0,1,56.2
8.9,80.7,79.7,9.0,7,1,2,97.0
3.0,66.6,79.6,6.3,1,0,3,56.1
4.7,85.0,50.1,5.6,6,0,1,52.8
3.8,86.9,72.4,8.2,4,1,1,62.2
3.5,81.1,63.4,6.8,5,1,2,62.0
4.8,82.6,73.3,7.2,5,1,3,79.1
8.6,76.9,68.5,6.3,5,0,1,65.7
9.5,97.7,82.9,6.1,1,1,3,77.6
4.8,69.2,66.1,6.3,2,1,1,45.2
9.7,73.0,62.5,4.8,4,0,2,68.0
5.6,80.1,81.4,6.4,5,0,2,60.0
9.4,90.5,73.7,,8,1,1,80.2
5.3,62.0,76.0,8.7,4,0,3,58.5
5.8,64.3,55.0,6.6,6,1,3,67.2
6.3,55.5,49.3,4.0,2,1,3,46.2
12.0,80.4,56.5,6.4,6,1,1,80.1
7.4,66.6,55.7,9.0,0,1,2,48.4
3.9,75.4,76.8,7.5,4,1,3,65.7
7.6,87.9,79.6,5.5,4,0,1,63.8
4.7,72.3,62.7,7.2,4,0,2,54.4
4.4,82.8,86.5,5.6,3,1,2,79.4
7.5,76.4,85.5,4.9,5,0,2,77.8
5.6,88.1,68.7,6.1,1,1,2,61.3
6.1,85.7,52.7,6.6,4,1,3,83.2
5.5,71.7,88.6,4.3,6,0,1,60.1
6.2,78.0,64.1,5.1,4,1,3,71.5
6.4,92.5,66.9,6.5,4,0,3,60.6
1.2,84.7,59.9,6.0,4,1,1,47.5
7.0,63.2,51.7,7.0,1,0,3,45.9
3.3,87.9,43.0,5.0,7,1,1,54.0
2.3,67.0,74.5,7.4,4,1,1,53.7
5.4,97.0,53.2,5.1,5,0,2,59.5
5.7,92.3,100.0,8.5,3,0,3,86.7
4.0,83.5,48.7,4.4,6,0,3,51.6
7.3,,46.1,5.2,3,1,2,60.8
2.5,77.5,72.7,7.0,4,0,3,63.0
4.6,,87.9,8.5,5,0,1,61.9
4.2,75.6,66.0,6.9,6,1,3,59.5
5.4,82.8,73.6,7.2,9,0,2,72.8
6.1,90.5,37.3,6.5,2,0,1,55.1
3.3,73.3,54.8,5.3,5,1,1,58.4
7.1,72.6,48.9,5.9,7,0,1,57.9
5.6,65.7,36.6,5.0,1,0,1,37.9
1.3,67.2,66.8,5.0,2,1,1,37.5
1.2,58.1,35.0,7.0,7,1,3,43.9
5.5,88.8,45.2,5.2,3,0,1,50.0
5.0,100.0,56.9,6.9,5,1,2,64.7
5.3,97.1,52.5,4.9,3,0,3,59.4
5.4,60.5,70.9,6.9,10,0,1,67.8
6.0,88.7,69.6,5.9,5,1,3,67.7
7.6,97.1,78.4,8.2,1,0,2,69.1
3.1,74.5,76.3,6.9,5,0,1,59.7
2.9,81.2,82.1,8.0,6,1,3,50.9
3.1,55.9,65.0,5.6,7,0,2,47.8
6.1,83.2,69.6,,3,0,2,57.1
8.2,67.2,72.7,5.3,0,0,3,69.8
4.6,82.4,67.1,6.0,4,1,3,60.8
0.0,61.3,59.0,6.2,5,1,3,41.1
1.8,86.5,60.0,5.6,5,1,3,55.5
3.7,92.3,52.7,5.0,3,0,1,47.0
4.3,70.6,71.3,4.8,7,1,2,59.3
4.6,66.4,63.6,4.0,2,1,1,49.4
5.6,54.1,55.1,5.2,3,0,3,47.4
4.8,,55.1,7.3,3,0,3,53.9
7.8,73.0,46.8,4.6,0,1,2,46.9
4.0,61.4,79.7,4.9,6,0,2,51.3
3.6,85.4,66.2,8.6,6,1,3,67.5
6.6,74.6,52.1,5.7,5,0,1,58.3
2.1,67.1,77.1,6.9,5,0,2,46.3
6.4,73.3,56.6,,8,1,3,73.4
5.7,92.9,43.9,7.3,3,1,1,61.9
5.2,87.2,80.3,4.7,2,0,3,70.8
9.0,78.4,56.9,6.2,4,1,1,68.3
4.1,87.4,58.9,4.6,2,0,3,58.5
10.0,66.1,65.6,9.0,4,1,2,87.0
5.0,80.4,82.1,4.6,4,0,3,64.1
2.7,81.8,65.3,5.2,4,0,3,48.8
5.7,74.4,47.0,5.3,3,0,2,41.7
3.1,85.2,73.2,4.7,3,0,3,68.5
3.8,70.6,57.7,8.1,6,0,2,66.9
6.4,86.1,93.3,9.0,3,0,2,70.9
6.7,86.6,65.0,5.9,6,1,3,67.8
4.1,45.0,35.0,4.9,3,0,1,30.3
7.7,94.3,70.4,4.0,2,0,2,74.5
8.0,43.4,94.2,6.2,2,0,1,54.9
8.7,72.6,88.6,6.1,4,1,2,65.2
6.7,92.3,92.5,5.7,5,0,3,92.8
8.5,76.2,49.7,6.8,2,0,1,59.9
1.4,62.4,78.7,7.0,4,1,2,55.4
4.8,66.9,54.2,6.9,5,0,2,52.5
3.6,92.3,68.4,6.1,3,1,3,65.6
5.8,56.9,45.9,5.2,3,0,1,34.8
4.2,93.5,55.3,7.3,6,1,1,56.8
5.1,79.3,54.9,6.5,4,0,1,55.2
9.6,65.7,78.5,7.6,2,1,2,59.2
5.1,73.0,77.0,7.4,1,1,2,59.3
6.4,67.8,69.2,,2,0,3,56.7
5.0,90.4,44.7,4.8,2,0,2,49.2
5.7,88.8,60.3,5.6,2,0,1,53.4
5.5,59.4,53.8,5.2,3,0,3,44.8
6.5,75.2,78.0,7.4,1,1,1,52.6
8.1,69.6,82.7,6.9,1,1,2,70.1
9.1,95.5,80.8,7.8,4,1,2,82.0
6.2,,53.7,7.0,1,1,1,42.3
6.8,99.3,35.0,6.8,2,1,2,59.1
3.0,79.6,38.5,7.9,8,1,2,52.4
5.3,66.1,86.3,7.1,3,0,3,62.7
7.6,71.9,59.0,6.6,4,0,1,47.3
7.4,70.4,53.7,8.3,2,0,3,64.8
6.0,64.7,89.6,6.6,5,0,2,60.9
7.5,81.1,84.0,6.1,7,0,3,79.4
6.6,65.3,65.4,5.5,2,0,1,49.3
8.1,53.8,60.6,7.3,3,0,1,54.4
6.1,75.4,63.0,8.0,6,0,3,74.2
4.7,58.4,68.4,6.4,1,0,2,53.2
6.2,71.0,89.0,8.1,8,0,1,81.1
0.0,69.1,71.3,4.1,4,0,3,47.4
6.3,69.5,75.9,6.4,7,0,1,68.8
0.0,100.0,82.5,6.5,5,1,2,51.1
1.7,80.7,47.5,5.6,3,1,3,44.9
6.5,82.9,76.3,9.0,3,0,3,70.6
6.6,58.7,60.6,6.4,10,0,3,74.1
2.9,72.2,35.0,6.0,7,0,2,42.5
3.9,82.6,35.0,6.5,3,0,1,45.6
8.5,67.7,49.7,4.1,2,0,1,54.2
4.4,90.9,73.0,5.6,4,1,3,74.0
10.4,,66.7,7.7,2,0,2,68.3
5.5,76.6,67.8,5.7,7,0,1,67.5
6.4,73.0,94.3,5.5,3,1,3,62.9
9.1,82.0,46.0,8.1,4,0,3,58.4
5.8,72.3,64.6,8.1,3,0,1,44.3
3.3,76.7,69.6,7.1,2,0,3,60.8
5.3,77.2,54.0,6.0,4,1,2,61.2
5.4,71.2,65.4,6.2,1,0,2,59.5
2.5,85.8,41.0,5.5,4,1,3,45.3
4.9,82.9,86.1,5.3,3,1,1,61.6
3.9,78.9,54.8,5.2,2,0,1,46.2
7.5,74.8,95.5,5.8,2,1,3,84.6
5.6,89.6,64.5,5.3,5,0,2,74.1
4.9,77.2,80.4,4.6,3,0,1,63.5
5.3,76.3,64.2,6.8,5,0,3,65.0
6.0,81.3,64.5,6.8,4,1,1,70.8
6.9,100.0,56.2,8.5,4,0,3,70.0
3.3,63.9,66.8,,6,0,1,49.2
3.2,89.2,69.8,6.9,6,1,2,63.7
7.9,57.3,53.2,6.9,5,0,2,53.0
4.6,82.6,63.1,,1,1,3,57.1
2.4,98.9,55.8,7.4,3,1,2,49.9
6.5,,99.5,7.4,4,1,3,88.4
6.5,82.0,63.7,6.9,3,1,1,66.0
2.1,73.3,88.2,6.2,6,1,2,71.5
6.0,80.4,62.1,6.1,0,0,3,47.7
7.1,77.0,68.9,4.9,5,1,1,76.7
6.3,70.6,45.2,5.5,4,1,3,47.1
6.9,76.5,58.3,5.8,3,1,3,55.9
2.4,82.4,68.2,5.2,2,1,3,50.7
6.2,70.8,88.8,7.0,9,0,1,82.3
4.8,70.3,68.3,7.9,2,0,3,60.1
4.4,63.7,85.8,5.4,3,0,3,59.1
7.4,84.7,74.6,6.8,8,0,1,70.1
8.8,86.5,89.4,5.3,1,1,2,68.0
9.4,82.8,64.1,,4,1,1,78.1
8.4,91.6,100.0,5.7,7,0,2,92.3
5.3,81.1,57.7,7.2,10,0,1,73.6
6.3,84.7,53.5,5.7,3,1,2,62.4
7.2,83.6,46.8,7.7,6,0,2,48.5
5.8,78.9,100.0,6.2,1,1,2,63.6
5.8,73.6,77.3,5.7,3,1,3,68.8
7.3,100.0,60.0,5.0,4,0,3,67.9
6.5,79.5,70.4,7.0,4,0,3,80.7
6.1,85.8,76.3,8.4,3,1,3,75.2
9.8,78.7,73.1,8.8,1,0,1,71.7
5.9,94.9,51.8,6.9,3,1,3,52.9
1.6,100.0,44.1,6.8,6,0,3,46.8
5.7,88.8,60.3,5.6,2,0,1,53.4
6.0,89.5,67.1,6.9,7,1,3,78.4
5.1,56.6,55.5,6.8,3,0,3,42.6
7.7,62.2,98.5,7.9,3,1,3,87.3
5.6,85.3,48.2,8.2,2,0,3,44.6
